Year,Month,Product_ID,Product_Name,Product_Category,Product_Cost,Product_Price,Store_City,Store_Location,Units,Actual_Product_Price,Revenue,xRevenue,Profit
2022,1,1,Action Figure,Toys,9.99,15.99,Aguascalientes,Downtown,45,15.752888888888888,708.88,719.55,259.33
2022,1,1,Action Figure,Toys,9.99,15.99,Campeche,Commercial,20,15.861,317.22,319.8,117.42
2022,1,1,Action Figure,Toys,9.99,15.99,Campeche,Downtown,79,15.326835443037973,1210.82,1263.21,421.61
2022,1,1,Action Figure,Toys,9.99,15.99,Chetumal,Downtown,116,15.676810344827587,1818.51,1854.84,659.67
2022,1,1,Action Figure,Toys,9.99,15.99,Chihuahua,Commercial,18,15.651666666666667,281.73,287.82,101.91000000000001
2022,1,1,Action Figure,Toys,9.99,15.99,Chihuahua,Downtown,64,15.70625,1005.2,1023.36,365.84
2022,1,1,Action Figure,Toys,9.99,15.99,Chilpancingo,Downtown,32,15.32875,490.52,511.68,170.84
2022,1,1,Action Figure,Toys,9.99,15.99,Ciudad Victoria,Downtown,91,15.882203389830508,1447.4499999999998,1455.09,538.3599999999999
2022,1,1,Action Figure,Toys,9.99,15.99,Cuernavaca,Downtown,119,15.8006,1883.87,1902.81,695.06
2022,1,1,Action Figure,Toys,9.99,15.99,Cuidad de Mexico,Airport,57,15.794736842105262,900.3,911.4300000000001,330.87
2022,1,1,Action Figure,Toys,9.99,15.99,Cuidad de Mexico,Commercial,48,15.926538461538463,765.21,767.52,285.69000000000005
2022,1,1,Action Figure,Toys,9.99,15.99,Cuidad de Mexico,Downtown,177,15.74826388888889,2775.53,2830.23,1007.3
2022,1,1,Action Figure,Toys,9.99,15.99,Cuidad de Mexico,Residential,73,15.717945205479452,1147.41,1167.27,418.14
2022,1,1,Action Figure,Toys,9.99,15.99,Culiacan,Downtown,13,15.599999999999998,202.79999999999998,207.87,72.92999999999999
2022,1,1,Action Figure,Toys,9.99,15.99,Durango,Downtown,34,15.584411764705882,529.87,543.66,190.20999999999998
2022,1,1,Action Figure,Toys,9.99,15.99,Guadalajara,Airport,63,15.671320754716982,987.64,1007.37,358.27
2022,1,1,Action Figure,Toys,9.99,15.99,Guadalajara,Commercial,85,15.568536585365852,1325.83,1359.15,476.67999999999995
2022,1,1,Action Figure,Toys,9.99,15.99,Guadalajara,Downtown,102,15.672941176470589,1598.64,1630.98,579.66
2022,1,1,Action Figure,Toys,9.99,15.99,Guadalajara,Residential,63,15.517358490566037,978.12,1007.37,348.75
2022,1,1,Action Figure,Toys,9.99,15.99,Guanajuato,Commercial,10,15.690000000000001,156.9,159.9,56.99999999999999
2022,1,1,Action Figure,Toys,9.99,15.99,Guanajuato,Downtown,56,15.942857142857145,892.8000000000001,895.44,333.36
2022,1,1,Action Figure,Toys,9.99,15.99,Guanajuato,Residential,94,15.612978723404254,1467.62,1503.06,528.56
2022,1,1,Action Figure,Toys,9.99,15.99,Hermosillo,Commercial,37,15.707837837837836,581.1899999999999,591.63,211.55999999999997
2022,1,1,Action Figure,Toys,9.99,15.99,Hermosillo,Downtown,49,15.79938775510204,774.17,783.51,284.65999999999997
2022,1,1,Action Figure,Toys,9.99,15.99,Hermosillo,Residential,57,15.724489795918368,898.18,911.4300000000001,328.75
2022,1,1,Action Figure,Toys,9.99,15.99,La Paz,Downtown,143,15.624183673469389,2236.42,2286.57,807.85
2022,1,1,Action Figure,Toys,9.99,15.99,Merida,Downtown,58,15.74551724137931,913.24,927.42,333.82
2022,1,1,Action Figure,Toys,9.99,15.99,Mexicali,Commercial,81,15.651014492753625,1259.68,1295.19,450.49
2022,1,1,Action Figure,Toys,9.99,15.99,Mexicali,Downtown,59,15.63135593220339,922.25,943.41,332.84
2022,1,1,Action Figure,Toys,9.99,15.99,Monterrey,Airport,3,15.783333333333333,47.35,47.97,17.38
2022,1,1,Action Figure,Toys,9.99,15.99,Monterrey,Commercial,33,15.86121212121212,523.42,527.67,193.75
