Store_City,Store_Location,Product_ID,Product_Name,Product_Category,Product_Cost,Units,Actual_Product_Price,Product_Price,Revenue,xRevenue,Profit,Elasticity,New_Product_Price,New_Units,New_Revenue,Delta_Revenue
Aguascalientes,Downtown,3,Barrel O' Slime,Art & Crafts,1.99,792,4.762503662,4.99,3685.75,3818.58,2109.67,-0.139762949,5.35,784.2360142,4195.66,377.08
Aguascalientes,Downtown,2,Animal Figures,Toys,10.49,295,13.31757687,13.99,3931.81,4063.55,837.26,-0.171934886,14.49,293.1872483,4248.28,184.73
Aguascalientes,Downtown,25,PlayDoh Can,Art & Crafts,1.99,458,3.095655082,3.19,1417.05,1461.02,505.63,-0.001,3.55,457.9497492,1625.72,164.7
Aguascalientes,Downtown,9,Dino Egg,Toys,9.99,337,11.57164688,11.99,3906.64,4013.63,540.01,-0.337139799,12.35,333.6834329,4120.99,107.36
Aguascalientes,Downtown,24,Nerf Gun,Sports & Outdoors,14.99,208,19.51590045,19.99,4067.7,4157.92,949.78,-0.001,20.49,207.9947974,4261.81,103.89
Aguascalientes,Downtown,1,Action Figure,Toys,10.99,102,17.17863768,17.99,1737.82,1793.98,616.84,-0.082804727,18.49,101.7652562,1881.64,87.66
Aguascalientes,Downtown,27,PlayDoh Toolkit,Art & Crafts,3.99,131,4.798658537,4.99,626.16,653.69,103.47,-0.001,5.49,130.9868737,719.12,65.43
Aguascalientes,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,6.99,343,11.70358983,11.99,4021.68,4112.57,1624.11,-0.370559774,12.29,339.8197998,4176.39,63.82
Aguascalientes,Downtown,11,Etch A Sketch,Art & Crafts,10.99,124,21.84070238,21.99,2708.99,2726.76,1346.23,-0.001,22.49,123.9971805,2788.7,61.94
Aguascalientes,Downtown,6,Colorbuds,Electronics,7.59,438,15.99429588,16.49,6962.96,7185.62,3638.54,-0.759465161,16.69,433.9654853,7242.88,57.26
Aguascalientes,Downtown,13,Gamer Headphones,Electronics,14.99,105,21.43880382,21.99,2258.94,2308.95,684.99,-0.001,22.49,104.9976126,2361.4,52.45
Aguascalientes,Downtown,12,Foam Disk Launcher,Sports & Outdoors,8.99,58,11.79703297,11.99,685.76,695.42,164.34,-0.001,12.49,57.99758132,724.39,28.97
Aguascalientes,Downtown,10,Dinosaur Figures,Toys,10.99,249,15.11292065,15.49,3749.94,3857.01,1013.43,-0.596260938,15.75,246.6037932,3884.01,27
Aguascalientes,Downtown,16,Jenga,Games,3.99,48,10.57226812,10.99,512.79,527.52,321.27,-0.001,11.49,47.9978162,551.49,23.97
Aguascalientes,Downtown,4,Chutes & Ladders,Games,10.09,41,12.9,13.49,533.84,553.09,123.75,-0.001,13.99,40.99848036,573.57,20.48
Aguascalientes,Downtown,17,Kids Makeup Kit,Art & Crafts,14.49,143,20.63842858,21.49,2893.3,3041.07,825.73,-2.885479063,21.55,142.0399639,3060.96,19.89
Aguascalientes,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,38,6.231754386,6.49,239.07,246.62,87.45,-0.001,6.99,37.99707242,265.6,18.98
Aguascalientes,Downtown,8,Deck Of Cards,Games,4.29,562,7.300687397,7.49,4098.15,4209.38,1687.17,-0.69359733,7.59,556.7957049,4226.08,16.7
Aguascalientes,Downtown,29,Plush Pony,Toys,8.99,30,19.04,19.99,577.57,599.7,307.87,-0.001,20.49,29.99924962,614.68,14.98
Aguascalientes,Downtown,22,Monopoly,Games,13.99,27,19.29,19.99,531.03,539.73,153.3,-0.001,20.49,26.99932466,553.22,13.49
Aguascalientes,Downtown,35,Uno Card Game,Games,3.99,26,8.1625,8.49,209.07,220.74,105.33,-0.001,8.99,25.99846879,233.73,12.99
Aguascalientes,Downtown,23,Mr. Potatohead,Toys,4.99,66,10.27704365,10.49,679.28,692.34,349.94,-0.341038377,10.79,65.356286,705.19,12.85
Aguascalientes,Downtown,5,Classic Dominoes,Games,7.99,21,10.48,10.49,220.08,220.29,52.29,-0.001,10.99,20.99899905,230.78,10.49
Aguascalientes,Downtown,18,Lego Bricks,Toys,34.99,199,38.71791879,39.99,7725.16,7949.01,762.15,-0.98718429,40.39,197.035012,7958.24,9.23
Aguascalientes,Downtown,7,Dart Gun,Sports & Outdoors,12.49,85,17.00879149,17.49,1447.47,1486.65,385.82,-0.726397569,17.69,84.29395319,1491.16,4.51
Aguascalientes,Downtown,26,PlayDoh Playset,Art & Crafts,20.99,8,25.97,25.99,207.76,207.92,39.84,-0.001,26.49,7.999846095,211.92,4
Aguascalientes,Downtown,30,Rubik's Cube,Games,17.29,166,19.41422232,19.99,3222.93,3318.34,352.79,-0.911250342,20.19,164.4865677,3320.98,2.64
Aguascalientes,Downtown,28,Playfoam,Art & Crafts,3.99,72,10.34114035,10.99,748.39,791.28,461.11,-0.831879414,11.09,71.45500166,792.44,1.16
Aguascalientes,Downtown,19,Magic Sand,Art & Crafts,13.99,483,15.99460541,16.49,7712.13,7964.67,954.96,-0.998870739,16.49,483,7964.67,9.09E-13
Aguascalientes,Downtown,34,Toy Robot,Electronics,21.99,56,27.11096154,27.49,1525.16,1539.44,293.72,-3.693280418,27.49,56,1539.44,2.27E-13
Aguascalientes,Downtown,14,Glass Marbles,Games,5.99,190,11.24023838,11.49,2110.69,2183.1,972.59,-2.749678996,11.49,190,2183.1,0
Aguascalientes,Downtown,31,Splash Balls,Sports & Outdoors,7.99,184,9.181476549,9.49,1693.55,1746.16,223.39,-2.033410842,9.49,184,1746.16,0
Aguascalientes,Downtown,32,Supersoaker Water Gun,Sports & Outdoors,11.99,5,14.41,14.99,72.05,74.95,12.1,-13.86235103,14.99,5,74.95,0
Aguascalientes,Downtown,33,Teddy Bear,Toys,10.99,51,12.606,12.99,642.24,662.49,81.75,-2.527609785,12.99,51,662.49,0
Campeche,Commercial,19,Magic Sand,Art & Crafts,13.99,852,16.02423474,16.49,13704.34,14049.48,1784.86,-0.001,16.99,851.9741662,14475.04,425.56
Campeche,Commercial,21,Mini Ping Pong Set,Sports & Outdoors,6.99,614,11.64786518,11.99,7125.89,7361.86,2834.03,-0.001,12.49,613.9743953,7668.54,306.68
Campeche,Commercial,1,Action Figure,Toys,10.99,226,17.15074545,17.99,3881.54,3955.74,1397.8,-0.001,18.49,225.9937187,4178.62,222.88
Campeche,Commercial,18,Lego Bricks,Toys,34.99,314,38.63237696,39.99,12090.13,12522.36,1103.27,-0.001,40.49,313.996074,12713.7,191.34
