Year,Month,Product_ID,Product_Name,Product_Category,Product_Cost,Product_Price,Store_City,Units,Actual_Product_Price,Revenue,xRevenue,Profit
2022,1,1,Action Figure,Toys,9.99,15.99,Aguascalientes,45,15.752888888888888,708.88,719.55,259.33
2022,1,1,Action Figure,Toys,9.99,15.99,Campeche,99,15.434747474747475,1528.04,1583.01,539.03
2022,1,1,Action Figure,Toys,9.99,15.99,Chetumal,116,15.676810344827587,1818.51,1854.84,659.67
2022,1,1,Action Figure,Toys,9.99,15.99,Chihuahua,82,15.694268292682928,1286.93,1311.18,467.75
2022,1,1,Action Figure,Toys,9.99,15.99,Chilpancingo,32,15.32875,490.52,511.68,170.84
2022,1,1,Action Figure,Toys,9.99,15.99,Ciudad Victoria,91,15.882203389830508,1447.4499999999998,1455.09,538.3599999999999
2022,1,1,Action Figure,Toys,9.99,15.99,Cuernavaca,119,15.8006,1883.87,1902.81,695.06
2022,1,1,Action Figure,Toys,9.99,15.99,Cuidad de Mexico,355,15.765166666666667,5588.45,5676.45,2042.0
2022,1,1,Action Figure,Toys,9.99,15.99,Culiacan,13,15.599999999999998,202.79999999999998,207.87,72.92999999999999
2022,1,1,Action Figure,Toys,9.99,15.99,Durango,34,15.584411764705882,529.87,543.66,190.20999999999998
2022,1,1,Action Figure,Toys,9.99,15.99,Guadalajara,313,15.622289156626506,4890.23,5004.87,1763.36
2022,1,1,Action Figure,Toys,9.99,15.99,Guanajuato,160,15.733250000000002,2517.32,2558.4,918.92
2022,1,1,Action Figure,Toys,9.99,15.99,Hermosillo,143,15.747111111111112,2253.54,2286.57,824.9699999999999
2022,1,1,Action Figure,Toys,9.99,15.99,La Paz,143,15.624183673469389,2236.42,2286.57,807.85
2022,1,1,Action Figure,Toys,9.99,15.99,Merida,58,15.74551724137931,913.24,927.42,333.82
2022,1,1,Action Figure,Toys,9.99,15.99,Mexicali,140,15.641953125,2181.93,2238.6,783.33
2022,1,1,Action Figure,Toys,9.99,15.99,Monterrey,215,15.825192307692307,3400.77,3437.85,1252.9199999999998
2022,1,1,Action Figure,Toys,9.99,15.99,Morelia,35,15.528571428571428,543.5,559.65,193.85
2022,1,1,Action Figure,Toys,9.99,15.99,Oaxaca,122,15.7412,1924.64,1950.78,705.86
2022,1,1,Action Figure,Toys,9.99,15.99,Pachuca,23,15.51909090909091,357.02,367.77,127.25
2022,1,1,Action Figure,Toys,9.99,15.99,Puebla,278,15.644809523809522,4357.48,4445.22,1580.26
2022,1,1,Action Figure,Toys,9.99,15.99,Saltillo,145,15.612162162162162,2272.82,2318.55,824.27
2022,1,1,Action Figure,Toys,9.99,15.99,San Luis Potosi,72,15.490833333333333,1115.34,1151.28,396.06
2022,1,1,Action Figure,Toys,9.99,15.99,Santiago,101,15.802376237623761,1596.04,1614.99,587.05
2022,1,1,Action Figure,Toys,9.99,15.99,Toluca,152,15.593545454545454,2359.15,2430.48,840.6700000000001
2022,1,1,Action Figure,Toys,9.99,15.99,Tuxtla Gutierrez,74,15.660000000000002,1169.04,1183.26,429.7800000000001
2022,1,1,Action Figure,Toys,9.99,15.99,Villahermosa,39,15.753076923076923,614.37,623.61,224.76
2022,1,1,Action Figure,Toys,9.99,15.99,Xalapa,155,15.584385964912281,2420.63,2478.45,872.1800000000001
2022,1,1,Action Figure,Toys,9.99,15.99,Zacatecas,87,15.515200000000002,1350.72,1391.13,481.59
2022,1,2,Animal Figures,Toys,9.99,12.99,Aguascalientes,5,12.53,62.65,64.95,12.699999999999996
2022,1,2,Animal Figures,Toys,9.99,12.99,Campeche,65,12.771666666666667,833.5300000000001,844.35,184.18
2022,1,2,Animal Figures,Toys,9.99,12.99,Chetumal,65,12.437297297297297,802.9,844.35,153.55
2022,1,2,Animal Figures,Toys,9.99,12.99,Chihuahua,39,12.747948717948718,497.17,506.61,107.56
2022,1,2,Animal Figures,Toys,9.99,12.99,Chilpancingo,12,12.199999999999998,146.39999999999998,155.88,26.51999999999999
2022,1,2,Animal Figures,Toys,9.99,12.99,Ciudad Victoria,14,12.819999999999999,179.48,181.86,39.61999999999999
2022,1,2,Animal Figures,Toys,9.99,12.99,Cuernavaca,39,12.77,498.03000000000003,506.61,108.41999999999997
2022,1,2,Animal Figures,Toys,9.99,12.99,Cuidad de Mexico,139,12.769047619047617,1782.38,1805.61,393.77
2022,1,2,Animal Figures,Toys,9.99,12.99,Culiacan,10,12.53,125.3,129.9,25.39999999999999
2022,1,2,Animal Figures,Toys,9.99,12.99,Durango,12,12.698333333333332,152.38,155.88,32.49999999999999
2022,1,2,Animal Figures,Toys,9.99,12.99,Guadalajara,164,12.760555555555555,2097.12,2130.36,458.76
2022,1,2,Animal Figures,Toys,9.99,12.99,Guanajuato,173,12.761654135338345,2214.7400000000002,2247.27,486.46999999999997
2022,1,2,Animal Figures,Toys,9.99,12.99,Hermosillo,65,12.538,814.97,844.35,165.61999999999998
2022,1,2,Animal Figures,Toys,9.99,12.99,La Paz,12,12.666666666666666,152.0,155.88,32.120000000000005
2022,1,2,Animal Figures,Toys,9.99,12.99,Merida,14,12.74642857142857,178.45,181.86,38.589999999999996
2022,1,2,Animal Figures,Toys,9.99,12.99,Mexicali,46,12.794375,587.78,597.54,128.24
2022,1,2,Animal Figures,Toys,9.99,12.99,Monterrey,107,12.700186915887851,1358.92,1389.93,289.98999999999995
2022,1,2,Animal Figures,Toys,9.99,12.99,Morelia,13,12.803846153846154,166.45,168.87,36.58
2022,1,2,Animal Figures,Toys,9.99,12.99,Oaxaca,48,12.6175,605.64,623.52,126.12
