Year,Month,Store_ID,Store_Name,Store_City,Store_Location,Store_Open_Date,Units,nUnique_Products,Actual_Product_Price,Revenue,xRevenue,Profit
2022,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,563,20,14.612683982683983,8352.78,8546.87,1694.9099999999999
2022,1,2,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,854,16,13.763445747800587,11814.6,12083.460000000001,3521.64
2022,1,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,1999-12-27,993,16,13.863232169954477,13526.77,13871.57,3960.2
2022,1,4,Maven Toys Saltillo 1,Saltillo,Downtown,2000-01-01,959,17,13.886959370904325,13629.73,13889.41,4284.32
2022,1,5,Maven Toys La Paz 1,La Paz,Downtown,2001-05-31,710,18,14.498741007194244,9735.14,10012.4,2783.74
2022,1,6,Maven Toys Mexicali 1,Mexicali,Commercial,2003-12-13,991,20,13.627065527065529,13631.29,13954.59,4423.7
2022,1,7,Maven Toys Monterrey 2,Monterrey,Downtown,2003-12-25,997,20,13.181732605729875,13391.77,13734.53,4516.24
2022,1,8,Maven Toys Pachuca 1,Pachuca,Downtown,2004-10-14,755,20,15.141405975395429,11081.18,11357.45,2550.73
2022,1,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2004-10-15,1424,16,14.559656419529837,21449.88,21949.76,4979.12
2022,1,10,Maven Toys Campeche 1,Campeche,Downtown,2005-01-14,780,18,12.109112627986347,9408.31,9633.2,3219.11
2022,1,11,Maven Toys Cuernavaca 1,Cuernavaca,Downtown,2005-04-19,763,18,14.025336787564767,10296.460000000001,10570.87,3071.5899999999997
2022,1,12,Maven Toys Chetumal 1,Chetumal,Downtown,2006-05-05,716,16,14.155464480874318,10059.58,10370.34,3050.74
2022,1,13,Maven Toys Mexicali 2,Mexicali,Downtown,2006-08-30,777,16,14.713993710691824,11459.35,11794.23,3112.12
2022,1,14,Maven Toys Guanajuato 1,Guanajuato,Downtown,2007-01-31,1098,14,13.67451536643026,15258.81,15658.02,3660.7899999999995
2022,1,15,Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,2007-03-05,655,18,13.63102510460251,8590.25,8779.95,2503.8
2022,1,16,Maven Toys San Luis Potosi 1,San Luis Potosi,Downtown,2007-05-19,745,19,15.987667731629394,10926.16,11181.05,2248.6099999999997
2022,1,17,Maven Toys Toluca 1,Toluca,Downtown,2007-12-09,1054,16,13.599848661233993,13935.58,14305.96,3574.12
2022,1,18,Maven Toys Merida 1,Merida,Downtown,2008-08-22,574,17,15.083837953091685,8766.02,8979.76,2280.2599999999998
2022,1,19,Maven Toys Puebla 1,Puebla,Commercial,2008-12-16,606,15,13.683796680497926,7875.08,8071.44,2166.64
2022,1,20,Maven Toys Zacatecas 1,Zacatecas,Downtown,2009-05-29,400,14,15.21192192192192,6128.52,6355.0,1271.52
2022,1,21,Maven Toys Santiago 1,Santiago,Downtown,2009-11-23,674,15,14.421768292682927,9381.85,9571.26,2971.59
