Year,Month,Store_ID,Product_ID,Product_Name,Product_Category,Product_Cost,Product_Price,Store_Name,Store_City,Store_Location,Store_Open_Date,Units,Actual_Product_Price,Revenue,xRevenue,Profit,Elasticity,New_Product_Price,New_Units,New_Revenue,Delta_Revenue
2023,3,1,1,Action Figure,Toys,10.99,17.49,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,90,17.0838,1530.33,1574.1,541.23,-0.001,18.050000000000008,89.99716981132076,1624.45,50.350000000000136
2023,3,1,2,Animal Figures,Toys,10.49,13.99,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,30,13.835666666666668,415.07,419.7,100.37,-0.001,14.550000000000008,29.99882058613295,436.48,16.78000000000003
2023,3,1,3,Barrel O' Slime,Art & Crafts,1.99,4.49,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,256,4.360196078431373,1118.71,1149.44,609.27,-0.001,4.949999999999998,255.9743429844098,1267.07,117.62999999999988
2023,3,1,5,Classic Dominoes,Games,7.99,10.49,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,13,10.36,134.68,136.37,30.809999999999988,-0.001,11.050000000000008,12.999318398474738,143.64,7.269999999999982
2023,3,1,7,Dart Gun,Sports & Outdoors,12.49,17.49,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,29,17.265862068965518,500.71,507.21,138.5,-0.001,18.050000000000008,28.999088050314466,523.43,16.21999999999997
2023,3,1,8,Deck Of Cards,Games,4.29,7.49,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,101,7.363595505617978,742.0,756.49,308.71,-0.5592963954036357,8.049999999999999,96.85194729443633,779.66,23.16999999999996
2023,3,1,9,Dino Egg,Toys,9.99,10.99,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,38,10.677894736842106,405.76,417.62,26.140000000000004,-0.001,11.550000000000008,37.9980982711556,438.88,21.25999999999999
2023,3,1,10,Dinosaur Figures,Toys,10.99,15.49,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,43,15.252325581395349,655.85,666.07,183.28,-0.001,15.990000000000007,42.998612007746935,687.55,21.479999999999905
2023,3,1,11,Etch A Sketch,Art & Crafts,10.99,21.99,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,27,21.184444444444445,571.98,593.7299999999999,275.25,-0.9519942817482676,22.550000000000008,26.357111637837107,594.35,0.6200000000001182
2023,3,1,12,Foam Disk Launcher,Sports & Outdoors,8.99,11.99,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,9,11.81,106.29,107.91,25.380000000000003,-0.001,12.550000000000008,8.999587155963303,112.94,5.030000000000001
