Year,Month,Product_ID,Product_Name,Product_Category,Store_Location,Units,Actual_Product_Price,Product_Cost,Product_Price,Revenue,xRevenue,Profit
2022,1,1,Action Figure,Toys,Airport,123,15.736548672566371,9.99,15.99,1935.29,1966.77,706.52
2022,1,1,Action Figure,Toys,Commercial,631,15.674132231404958,9.99,15.99,9881.61,10089.69,3577.92
2022,1,1,Action Figure,Toys,Downtown,2183,15.683211252653926,9.99,15.99,34265.88,34906.17,12457.71
2022,1,1,Action Figure,Toys,Residential,504,15.640043103448274,9.99,15.99,7876.74,8058.96,2841.7799999999997
2022,1,2,Animal Figures,Toys,Airport,116,12.838977272727272,9.99,12.99,1492.71,1506.84,333.87
2022,1,2,Animal Figures,Toys,Commercial,381,12.764354838709679,9.99,12.99,4867.42,4949.19,1061.23
2022,1,2,Animal Figures,Toys,Downtown,855,12.677010723860588,9.99,12.99,10843.23,11106.45,2301.7799999999997
2022,1,2,Animal Figures,Toys,Residential,161,12.788559322033898,9.99,12.99,2060.33,2091.39,451.94
2022,1,3,Barrel O' Slime,Art & Crafts,Commercial,19,3.8994736842105264,1.99,3.99,74.09,75.81,36.28
2022,1,3,Barrel O' Slime,Art & Crafts,Downtown,57,3.833508771929824,1.99,3.99,218.51,227.43,105.08
2022,1,4,Chutes & Ladders,Games,Airport,4,12.95,9.99,12.99,51.8,51.96,11.839999999999996
2022,1,4,Chutes & Ladders,Games,Commercial,20,12.411,9.99,12.99,248.22,259.8,48.42
2022,1,4,Chutes & Ladders,Games,Downtown,120,12.568173913043477,9.99,12.99,1508.39,1558.8,309.59
2022,1,4,Chutes & Ladders,Games,Residential,22,12.52409090909091,9.99,12.99,275.53000000000003,285.78000000000003,55.75000000000001
2022,1,5,Classic Dominoes,Games,Commercial,38,9.776052631578947,7.99,9.99,371.49,379.62,67.86999999999999
2022,1,5,Classic Dominoes,Games,Downtown,156,9.646217948717949,7.99,9.99,1504.81,1558.44,258.36999999999995
2022,1,5,Classic Dominoes,Games,Residential,82,9.705731707317073,7.99,9.99,795.87,819.1800000000001,140.69
2022,1,6,Colorbuds,Electronics,Airport,977,14.646054279749478,6.99,14.99,14301.69,14645.23,7472.46
2022,1,6,Colorbuds,Electronics,Commercial,2030,14.580081300813006,6.99,14.99,29671.04,30429.7,15481.34
2022,1,6,Colorbuds,Electronics,Downtown,4417,14.603201308139536,6.99,14.99,64537.48,66210.83,33662.65
2022,1,6,Colorbuds,Electronics,Residential,686,14.611392694063927,6.99,14.99,10056.72,10283.14,5261.58
2022,1,7,Dart Gun,Sports & Outdoors,Airport,129,15.725376344086023,11.99,15.99,2029.01,2062.71,482.29999999999995
2022,1,7,Dart Gun,Sports & Outdoors,Commercial,313,15.572974910394263,11.99,15.99,4870.78,5004.87,1117.9099999999999
2022,1,7,Dart Gun,Sports & Outdoors,Downtown,1123,15.640050568900127,11.99,15.99,17576.39,17956.77,4111.62
2022,1,7,Dart Gun,Sports & Outdoors,Residential,182,15.672416107382551,11.99,15.99,2847.75,2910.18,665.5699999999999
2022,1,8,Deck Of Cards,Games,Airport,282,6.902444444444444,3.99,6.99,1950.4,1971.18,825.22
2022,1,8,Deck Of Cards,Games,Commercial,965,6.870314547837484,3.99,6.99,6623.37,6745.35,2773.02
2022,1,8,Deck Of Cards,Games,Downtown,2555,6.869955665024631,3.99,6.99,17560.93,17859.45,7366.48
2022,1,8,Deck Of Cards,Games,Residential,611,6.877588357588357,3.99,6.99,4198.74,4270.89,1760.85
2022,1,9,Dino Egg,Toys,Airport,118,10.72294642857143,9.99,10.99,1265.95,1296.82,87.12999999999998
2022,1,9,Dino Egg,Toys,Commercial,693,10.692844444444443,9.99,10.99,7405.56,7616.07,482.4899999999999
2022,1,9,Dino Egg,Toys,Downtown,1750,10.699210164835165,9.99,10.99,18727.46,19232.5,1244.9599999999998
2022,1,9,Dino Egg,Toys,Residential,321,10.678373983739839,9.99,10.99,3429.94,3527.79,223.14999999999995
2022,1,10,Dinosaur Figures,Toys,Airport,29,14.75,10.99,14.99,422.8,434.71000000000004,104.08999999999999
2022,1,10,Dinosaur Figures,Toys,Commercial,142,14.671023622047244,10.99,14.99,2081.77,2128.58,521.1899999999999
2022,1,10,Dinosaur Figures,Toys,Downtown,453,14.632017045454546,10.99,14.99,6623.27,6790.47,1644.8
2022,1,10,Dinosaur Figures,Toys,Residential,115,14.682857142857141,10.99,14.99,1694.7,1723.85,430.8499999999999
2022,1,14,Glass Marbles,Games,Airport,406,10.65259090909091,5.99,10.99,4352.02,4461.9400000000005,1920.08
2022,1,14,Glass Marbles,Games,Commercial,353,10.710034482758621,5.99,10.99,3787.25,3879.4700000000003,1672.78
2022,1,14,Glass Marbles,Games,Downtown,984,10.638578767123288,5.99,10.99,10472.88,10814.16,4578.72
2022,1,14,Glass Marbles,Games,Residential,98,10.644235294117648,5.99,10.99,1047.5,1077.02,460.48
2022,1,17,Kids Makeup Kit,Art & Crafts,Airport,32,19.046875,13.99,19.99,609.5,639.68,161.82
2022,1,17,Kids Makeup Kit,Art & Crafts,Commercial,170,19.517294117647058,13.99,19.99,3317.94,3398.2999999999997,939.64
2022,1,17,Kids Makeup Kit,Art & Crafts,Downtown,704,19.335410628019325,13.99,19.99,13631.3,14072.96,3782.34
2022,1,17,Kids Makeup Kit,Art & Crafts,Residential,208,19.502499999999998,13.99,19.99,4069.14,4157.92,1159.2199999999998
2022,1,18,Lego Bricks,Toys,Airport,127,38.1779,34.99,38.99,4858.7,4951.7300000000005,414.96999999999986
2022,1,18,Lego Bricks,Toys,Commercial,338,37.940430769230765,34.99,38.99,12820.82,13178.62,994.1999999999992
2022,1,18,Lego Bricks,Toys,Downtown,1064,37.91770642201835,34.99,38.99,40381.48,41485.36,3152.1199999999976
2022,1,18,Lego Bricks,Toys,Residential,217,38.12302564102564,34.99,38.99,8284.29,8460.83,691.4599999999996
2022,1,20,Mini Basketball Hoop,Sports & Outdoors,Airport,5,23.76,8.99,23.99,118.80000000000001,119.94999999999999,73.85000000000001
2022,1,20,Mini Basketball Hoop,Sports & Outdoors,Commercial,29,23.425862068965518,8.99,23.99,679.35,695.7099999999999,418.64000000000004
2022,1,20,Mini Basketball Hoop,Sports & Outdoors,Downtown,137,23.54357142857143,8.99,23.99,3227.63,3286.6299999999997,1995.9999999999998
2022,1,20,Mini Basketball Hoop,Sports & Outdoors,Residential,19,23.713684210526317,8.99,23.99,450.56,455.80999999999995,279.75
2022,1,21,Mini Ping Pong Set,Sports & Outdoors,Airport,7,9.7,6.99,9.99,67.89999999999999,69.93,18.96999999999999
2022,1,21,Mini Ping Pong Set,Sports & Outdoors,Commercial,122,9.71631067961165,6.99,9.99,1178.05,1218.78,325.27
2022,1,21,Mini Ping Pong Set,Sports & Outdoors,Downtown,694,9.781594202898551,6.99,9.99,6777.38,6933.06,1926.32
2022,1,21,Mini Ping Pong Set,Sports & Outdoors,Residential,198,9.767957746478872,6.99,9.99,1925.41,1978.02,541.39
2022,1,22,Monopoly,Games,Commercial,11,18.743636363636366,13.99,18.99,206.18,208.89,52.28999999999999
2022,1,22,Monopoly,Games,Downtown,94,18.73592105263158,13.99,18.99,1765.57,1785.06,450.50999999999993
2022,1,22,Monopoly,Games,Residential,24,18.883333333333333,13.99,18.99,453.2,455.76,117.44000000000001
2022,1,24,Nerf Gun,Sports & Outdoors,Airport,138,18.474531250000002,14.99,18.99,2551.7400000000002,2620.62,483.12
2022,1,24,Nerf Gun,Sports & Outdoors,Commercial,230,18.362623762376238,14.99,18.99,4224.81,4367.7,777.11
2022,1,24,Nerf Gun,Sports & Outdoors,Downtown,544,18.39309829059829,14.99,18.99,10001.23,10330.56,1846.67
2022,1,24,Nerf Gun,Sports & Outdoors,Residential,79,18.385692307692306,14.99,18.99,1448.11,1500.2099999999998,263.9
2022,1,25,PlayDoh Can,Art & Crafts,Airport,113,2.9038541666666666,1.99,2.99,328.24,337.87,103.37
2022,1,25,PlayDoh Can,Art & Crafts,Commercial,275,2.943079847908745,1.99,2.99,809.51,822.2500000000001,262.26000000000005
2022,1,25,PlayDoh Can,Art & Crafts,Downtown,1021,2.9178954081632655,1.99,2.99,2975.62,3052.7900000000004,943.83
2022,1,25,PlayDoh Can,Art & Crafts,Residential,43,2.8819999999999997,1.99,2.99,123.38,128.57000000000002,37.809999999999995
2022,1,27,PlayDoh Toolkit,Art & Crafts,Airport,155,4.385503355704698,3.49,4.49,680.38,695.95,139.42999999999995
2022,1,27,PlayDoh Toolkit,Art & Crafts,Commercial,358,4.382745098039216,3.49,4.49,1570.96,1607.42,321.5399999999999
2022,1,27,PlayDoh Toolkit,Art & Crafts,Downtown,898,4.3738956310679615,3.49,4.49,3926.4900000000002,4032.02,792.4699999999998
2022,1,27,PlayDoh Toolkit,Art & Crafts,Residential,229,4.391287128712871,3.49,4.49,1001.77,1028.21,202.55999999999997
2022,1,30,Rubik's Cube,Games,Airport,96,18.311666666666667,16.99,18.99,1757.92,1823.04,126.88000000000014
2022,1,30,Rubik's Cube,Games,Commercial,348,18.384007220216606,16.99,18.99,6409.6900000000005,6608.5199999999995,497.1700000000006
2022,1,30,Rubik's Cube,Games,Downtown,1280,18.448624535315986,16.99,18.99,23624.94,24307.199999999997,1877.7400000000016
2022,1,30,Rubik's Cube,Games,Residential,210,18.41203821656051,16.99,18.99,3878.5,3987.8999999999996,310.60000000000025
2022,1,31,Splash Balls,Sports & Outdoors,Airport,84,8.76047619047619,7.99,8.99,735.88,755.16,64.72
2022,1,31,Splash Balls,Sports & Outdoors,Commercial,336,8.866089965397924,7.99,8.99,2966.89,3020.64,282.24999999999994
2022,1,31,Splash Balls,Sports & Outdoors,Downtown,773,8.79558108108108,7.99,8.99,6801.47,6949.27,625.1999999999998
2022,1,31,Splash Balls,Sports & Outdoors,Residential,170,8.7650625,7.99,8.99,1492.31,1528.3,134.01
2022,1,33,Teddy Bear,Toys,Airport,39,12.44076923076923,10.99,12.49,485.19,487.11,56.580000000000005
2022,1,33,Teddy Bear,Toys,Commercial,70,12.306857142857144,10.99,12.49,861.48,874.3000000000001,92.17999999999996
2022,1,33,Teddy Bear,Toys,Downtown,189,12.10984126984127,10.99,12.49,2288.76,2360.61,211.65000000000003
2022,1,33,Teddy Bear,Toys,Residential,56,12.285714285714286,10.99,12.49,688.0,699.44,72.56000000000002
2022,1,34,Toy Robot,Electronics,Airport,21,25.978095238095236,20.99,25.99,545.54,545.79,104.75000000000001
2022,1,34,Toy Robot,Electronics,Commercial,212,25.37010582010582,20.99,25.99,5381.71,5509.88,931.8300000000004
2022,1,34,Toy Robot,Electronics,Downtown,525,25.25904761904762,20.99,25.99,13261.88,13644.75,2242.130000000001
