Store_City,Store_Location,Year,Month,Product_ID,Elasticity
Aguascalientes,Downtown,2022,1,1,-0.001
Aguascalientes,Downtown,2022,1,2,-0.001
Aguascalientes,Downtown,2022,1,3,-0.001
Aguascalientes,Downtown,2022,1,4,-0.001
Aguascalientes,Downtown,2022,1,6,-2.80342328411635
Aguascalientes,Downtown,2022,1,7,-0.001
Aguascalientes,Downtown,2022,1,8,-12.637383398167065
Aguascalientes,Downtown,2022,1,9,-7.29047188556504
Aguascalientes,Downtown,2022,1,10,-0.001
Aguascalientes,Downtown,2022,1,14,-0.001
Aguascalientes,Downtown,2022,1,18,-0.001
Aguascalientes,Downtown,2022,1,20,-0.001
Aguascalientes,Downtown,2022,1,21,-32.83631490093063
Aguascalientes,Downtown,2022,1,22,-0.001
Aguascalientes,Downtown,2022,1,24,-0.001
Aguascalientes,Downtown,2022,1,30,-0.001
Aguascalientes,Downtown,2022,1,31,-0.001
Aguascalientes,Downtown,2022,1,34,-0.001
Aguascalientes,Downtown,2022,1,35,-0.001
Aguascalientes,Downtown,2022,2,1,-0.3262587813435001
Aguascalientes,Downtown,2022,2,2,-0.001
Aguascalientes,Downtown,2022,2,5,-0.001
Aguascalientes,Downtown,2022,2,6,-1.6979874337816996
Aguascalientes,Downtown,2022,2,7,-12.350847342103517
Aguascalientes,Downtown,2022,2,8,-0.001
Aguascalientes,Downtown,2022,2,9,-0.001
Aguascalientes,Downtown,2022,2,10,-0.001
Aguascalientes,Downtown,2022,2,14,-0.001
Aguascalientes,Downtown,2022,2,18,-0.001
Aguascalientes,Downtown,2022,2,21,-0.001
Aguascalientes,Downtown,2022,2,22,-0.001
Aguascalientes,Downtown,2022,2,24,-0.001
Aguascalientes,Downtown,2022,2,25,-0.001
Aguascalientes,Downtown,2022,2,27,-0.001
Aguascalientes,Downtown,2022,2,30,-0.001
Aguascalientes,Downtown,2022,2,31,-10.13250484013
Aguascalientes,Downtown,2022,3,1,-221.30937131256596
Aguascalientes,Downtown,2022,3,2,-0.001
Aguascalientes,Downtown,2022,3,5,-0.001
Aguascalientes,Downtown,2022,3,6,-3.206577180680607
Aguascalientes,Downtown,2022,3,7,-0.001
Aguascalientes,Downtown,2022,3,8,-0.001
Aguascalientes,Downtown,2022,3,9,-0.001
Aguascalientes,Downtown,2022,3,10,-0.001
Aguascalientes,Downtown,2022,3,14,-0.001
Aguascalientes,Downtown,2022,3,15,-0.001
Aguascalientes,Downtown,2022,3,18,-0.001
Aguascalientes,Downtown,2022,3,21,-0.001
Aguascalientes,Downtown,2022,3,24,-0.001
Aguascalientes,Downtown,2022,3,25,-5.7749742961226715
Aguascalientes,Downtown,2022,3,27,-0.001
Aguascalientes,Downtown,2022,3,30,-0.001
Aguascalientes,Downtown,2022,3,31,-14.66207592909777
Aguascalientes,Downtown,2022,3,34,-0.001
Aguascalientes,Downtown,2022,3,35,-0.001
Aguascalientes,Downtown,2022,4,1,-0.001
Aguascalientes,Downtown,2022,4,2,-0.001
Aguascalientes,Downtown,2022,4,5,-0.001
Aguascalientes,Downtown,2022,4,6,-0.001
Aguascalientes,Downtown,2022,4,7,-0.001
Aguascalientes,Downtown,2022,4,8,-0.001
Aguascalientes,Downtown,2022,4,9,-0.001
Aguascalientes,Downtown,2022,4,10,-0.001
Aguascalientes,Downtown,2022,4,14,-0.001
Aguascalientes,Downtown,2022,4,15,-0.001
Aguascalientes,Downtown,2022,4,18,-0.001
Aguascalientes,Downtown,2022,4,21,-6.1130173250036215
Aguascalientes,Downtown,2022,4,24,-0.001
Aguascalientes,Downtown,2022,4,25,-0.001
Aguascalientes,Downtown,2022,4,27,-0.001
Aguascalientes,Downtown,2022,4,30,-0.001
Aguascalientes,Downtown,2022,4,31,-0.001
Aguascalientes,Downtown,2022,4,34,-0.001
Aguascalientes,Downtown,2022,4,35,-0.001
Aguascalientes,Downtown,2022,5,1,-0.001
Aguascalientes,Downtown,2022,5,2,-0.001
Aguascalientes,Downtown,2022,5,6,-2.722849759521024
Aguascalientes,Downtown,2022,5,7,-0.001
Aguascalientes,Downtown,2022,5,8,-0.001
Aguascalientes,Downtown,2022,5,9,-0.001
Aguascalientes,Downtown,2022,5,10,-0.001
Aguascalientes,Downtown,2022,5,14,-0.001
Aguascalientes,Downtown,2022,5,15,-0.001
Aguascalientes,Downtown,2022,5,16,-0.001
Aguascalientes,Downtown,2022,5,18,-3.774235542593205
Aguascalientes,Downtown,2022,5,21,-0.001
Aguascalientes,Downtown,2022,5,24,-0.001
Aguascalientes,Downtown,2022,5,25,-0.001
Aguascalientes,Downtown,2022,5,27,-0.001
Aguascalientes,Downtown,2022,5,30,-0.001
Aguascalientes,Downtown,2022,5,31,-0.001
Aguascalientes,Downtown,2022,5,32,-0.001
Aguascalientes,Downtown,2022,5,34,-0.001
Aguascalientes,Downtown,2022,6,1,-0.001
Aguascalientes,Downtown,2022,6,2,-0.001
Aguascalientes,Downtown,2022,6,4,-0.001
Aguascalientes,Downtown,2022,6,5,-0.001
Aguascalientes,Downtown,2022,6,6,-12.065977598224142
Aguascalientes,Downtown,2022,6,7,-0.001
Aguascalientes,Downtown,2022,6,8,-80.5507348410584
Aguascalientes,Downtown,2022,6,10,-35.21791041020088
Aguascalientes,Downtown,2022,6,14,-0.001
Aguascalientes,Downtown,2022,6,16,-0.001
Aguascalientes,Downtown,2022,6,17,-0.001
Aguascalientes,Downtown,2022,6,18,-0.001
Aguascalientes,Downtown,2022,6,20,-0.001
Aguascalientes,Downtown,2022,6,22,-0.001
Aguascalientes,Downtown,2022,6,24,-0.001
Aguascalientes,Downtown,2022,6,25,-0.001
Aguascalientes,Downtown,2022,6,26,-0.001
Aguascalientes,Downtown,2022,6,27,-0.001
Aguascalientes,Downtown,2022,6,30,-0.001
Aguascalientes,Downtown,2022,6,31,-0.001
Aguascalientes,Downtown,2022,6,32,-0.001
Aguascalientes,Downtown,2022,6,33,-0.001
Aguascalientes,Downtown,2022,6,34,-20.93581471763866
Aguascalientes,Downtown,2022,6,35,-0.001
Aguascalientes,Downtown,2022,7,1,-0.001
Aguascalientes,Downtown,2022,7,2,-0.001
Aguascalientes,Downtown,2022,7,4,-0.001
Aguascalientes,Downtown,2022,7,6,-8.338374014296596
Aguascalientes,Downtown,2022,7,7,-0.001
Aguascalientes,Downtown,2022,7,8,-8.53651739054398
Aguascalientes,Downtown,2022,7,14,-0.001
Aguascalientes,Downtown,2022,7,15,-0.001
Aguascalientes,Downtown,2022,7,16,-0.001
Aguascalientes,Downtown,2022,7,17,-0.001
Aguascalientes,Downtown,2022,7,18,-0.001
Aguascalientes,Downtown,2022,7,21,-0.001
Aguascalientes,Downtown,2022,7,24,-0.001
Aguascalientes,Downtown,2022,7,25,-0.001
Aguascalientes,Downtown,2022,7,26,-0.001
Aguascalientes,Downtown,2022,7,27,-0.001
Aguascalientes,Downtown,2022,7,30,-0.001
Aguascalientes,Downtown,2022,7,31,-16.736694733575092
Aguascalientes,Downtown,2022,7,33,-0.001
Aguascalientes,Downtown,2022,8,1,-0.001
Aguascalientes,Downtown,2022,8,2,-0.001
Aguascalientes,Downtown,2022,8,3,-0.001
Aguascalientes,Downtown,2022,8,5,-0.001
Aguascalientes,Downtown,2022,8,6,-23.02598952470909
Aguascalientes,Downtown,2022,8,7,-0.001
Aguascalientes,Downtown,2022,8,8,-0.001
Aguascalientes,Downtown,2022,8,10,-25.570516635976873
Aguascalientes,Downtown,2022,8,13,-0.001
Aguascalientes,Downtown,2022,8,14,-0.001
Aguascalientes,Downtown,2022,8,15,-0.001
Aguascalientes,Downtown,2022,8,16,-0.001
Aguascalientes,Downtown,2022,8,17,-0.001
Aguascalientes,Downtown,2022,8,18,-0.001
