Product_ID,Year,Quarter,Product_Name,Product_Category,Product_Cost,Product_Price,Date,Month,Actual_Product_Price
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-01,1,15.83
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-02,1,14.98
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-03,1,15.39
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-04,1,15.59
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-05,1,15.96
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-06,1,15.96
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-07,1,15.99
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-08,1,15.15
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-09,1,15.59
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-10,1,15.43
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-11,1,15.99
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-12,1,14.94
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-13,1,15.21
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-14,1,15.94
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-15,1,15.95
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-16,1,15.95
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-17,1,15.89
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-18,1,15.68
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-19,1,15.78
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-20,1,15.9
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-21,1,15.57
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-22,1,15.97
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-23,1,15.89
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-24,1,15.84
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-25,1,15.76
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-26,1,15.3
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-27,1,15.95
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-28,1,15.69
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-29,1,15.6
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-30,1,15.99
1,2022,1,Action Figure,Toys,9.99,15.99,2022-01-31,1,15.58
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-01,2,15.96
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-02,2,15.99
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-03,2,14.98
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-04,2,14.95
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-05,2,15.26
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-06,2,15.89
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-07,2,14.82
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-08,2,14.54
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-09,2,14.66
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-10,2,14.81
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-11,2,14.63
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-12,2,14.85
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-13,2,14.43
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-14,2,14.75
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-15,2,15.5
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-16,2,15.88
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-17,2,15.69
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-18,2,15.66
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-19,2,15.95
1,2022,1,Action Figure,Toys,9.99,15.99,2022-02-20,2,14.94
